author,title,rating,ratings,genres,link
Максим Томилко,Временные трудности,4.9,18,"Альтернативная фантастика, Военная фантастика, Военный боевик, Историческая фантастика, Книги о войне, Остросюжетная фантастика, Попаданцы, Самиздат",https://www.litres.ru/book/maksim-tomilko/vremennye-trudnosti-70207600/
Эдит Ева Эгер,Выбор. О свободе и внутренней силе человека,4.9,11267,"Автобиографическая проза, Бестселлеры «New York Times», Биографии и мемуары, Вторая мировая война, Зарубежная психология, Зарубежная публицистика, Истории из жизни, Концлагеря, Саморазвитие / личностный рост, Холокост",https://www.litres.ru/book/edit-eva-eger/vybor-o-svobode-i-vnutrenney-sile-cheloveka-48508375/
Татьяна Мужицкая,Переговоры по душам. Простая технология успешной коммуникации,4.6,39,"Деловое общение, Личная эффективность, Переговоры, Психология общения, Саморазвитие / личностный рост, Советы профессионалов, Стратегия переговоров, Уверенность в себе, Успешные переговоры",https://www.litres.ru/book/tatyana-muzhickaya/peregovory-po-dusham-prostaya-tehnologiya-uspeshnoy-kom-70135696/
Александра Маринина,Тьма после рассвета,4.4,2524,"В поисках истины, Загадочные убийства, Маньяки, Расследование преступлений, Серийные убийцы, Современные детективы",https://www.litres.ru/book/aleksandra-marinina/tma-posle-rassveta-68708631/
Anne Dar,Обреченные пылать,4.8,7493,"Интриги, Любовная драма, Остросюжетные любовные романы, Секс, Современные любовные романы, Страсть, Тайные желания, Эротические романы",https://www.litres.ru/book/anne-dar/obrechennye-pylat-49613100/
Анна и Сергей Литвиновы,Красивая женщина умирает дважды,4.5,145,"Женские детективы, Загадочные события, Повороты судьбы, Современные детективы, Странная смерть, Шантаж",https://www.litres.ru/book/anna-i-sergey-litvinovy/krasivaya-zhenschina-umiraet-dvazhdy-70063879/
,BABOK®. Руководство к своду знаний по бизнес-анализу®. Версия 3.0,4.5,11,"Анализ бизнеса, Бизнес-аналитика, Бизнес-справочники, Зарубежная деловая литература, Зарубежная справочная литература, Мировой опыт, Стандартизация, Эффективное руководство",https://www.litres.ru/book/raznoe/babok-r-rukovodstvo-k-svodu-znaniy-po-biznes-analizu-r-versiya-3-0-67335962/
Алексей Иванов,Бронепароходы,4.8,434,"Альтернативная история, Гражданская война, Историческая литература, Исторические приключения, Исторические романы, История флота, Россия начала XX века",https://www.litres.ru/audiobook/aleksey-ivanov/broneparohody-69472195/
Маргарита Гришаева,"Смерть, отбор и котики",4.9,265,"Детективное фэнтези, Любовное фэнтези, Магические миры, Магическое фэнтези, Некромантия, Отбор невест, Самиздат, Юмористическое фэнтези",https://www.litres.ru/book/margarita-grishaeva/smert-otbor-i-kotiki-70134955/
Anne Dar,НеКлон,5.0,1467,"Борьба за выживание, Клонирование, Мораль, Остросюжетные любовные романы, Самиздат, Социальная фантастика, Страсть, Триллеры",https://www.litres.ru/book/anne-dar/neklon-69663625/
Эрин Мейер,"Карта культурных различий. Как люди думают, руководят и добиваются целей в международной среде",4.7,247,"Взаимодействие культур, Деловой этикет, Зарубежная деловая литература, Культура и этика делового общения, Межкультурная коммуникация, Практические рекомендации, Руководства",https://www.litres.ru/book/erin-meyer-17553327/karta-kulturnyh-razlichiy-kak-ludi-dumaut-rukovodyat-i-39335807/
Виктор Пелевин,Путешествие в Элевсин,4.4,1078,"Антиутопия, Далёкое будущее, Жизненный выбор, Жизнь после смерти, Постмодернизм, Современная русская литература",https://www.litres.ru/book/viktor-pelevin/puteshestvie-v-elevsin-69586360/
Патрик Кинг,"Наука чтения людей. Как понять, что люди на самом деле имеют в виду, когда говорят",4.3,55,"Зарубежная психология, Искусство общения, Межличностные коммуникации, Поведенческая психология, Практическая психология, Психология общения, Саморазвитие / личностный рост, Социальная психология, Типы личности",https://www.litres.ru/audiobook/patrik-king/nauka-chteniya-ludey-kak-ponyat-chto-ludi-na-samom-dele-imeut-69593500/
Анастасия Томилова,"Почему я не худею. Дело не в диете, дело – в голове",4.7,389,"Диеты, Здоровое и правильное питание, Здоровое питание, Здоровый образ жизни, Похудение, Похудение и диеты",https://www.litres.ru/book/anastasiya-tomilova/pochemu-ya-ne-hudeu-delo-ne-v-diete-delo-v-golove-68872764/
